seq,recv_ts_ns,send_ts_ns
509,100282706888583,100282706863000
510,100282707099750,100282707073666
511,100282707312791,100282707288291
512,100282707526625,100282707500416
513,100282707739791,100282707715041
514,100282707951041,100282707926916
515,100282708165500,100282708140500
516,100282708365291,100282708341625
517,100282708566708,100282708543166
518,100282708782791,100282708758916
519,100282708992791,100282708969583
520,100282709209500,100282709182916
521,100282709416833,100282709393583
522,100282709628500,100282709604333
523,100282709839458,100282709813833
524,100282710056291,100282710030583
525,100282710261375,100282710234250
526,100282710475833,100282710449083
527,100282710681250,100282710653625
528,100282710888333,100282710862958
529,100282711103208,100282711073708
530,100282711307708,100282711281666
531,100282711522375,100282711493583
532,100282711725291,100282711696291
533,100282711925000,100282711900291
534,100282712131708,100282712104333
535,100282712342833,100282712317708
536,100282712557041,100282712529583
537,100282712756416,100282712731000
538,100282712970375,100282712944333
539,100282713173125,100282713148416
540,100282713375250,100282713348500
541,100282713582000,100282713558958
542,100282713784750,100282713761666
543,100282713991208,100282713964250
544,100282714200083,100282714176291
545,100282714413000,100282714386916
546,100282714615208,100282714590958
547,100282714818875,100282714793125
548,100282715016750,100282714993583
549,100282715223000,100282715199375
550,100282715433000,100282715408416
551,100282715632750,100282715609666
552,100282715850958,100282715825708
553,100282716065166,100282716040291
554,100282716276583,100282716253625
555,100282716491083,100282716465583
556,100282716703625,100282716679083
557,100282716902625,100282716879458
558,100282717118500,100282717093583
559,100282717329375,100282717304333
560,100282717530375,100282717505791
561,100282717757125,100282717717625
562,100282717955666,100282717931541
563,100282718175041,100282718139000
564,100282718368291,100282718339083
565,100282718652541,100282718604875
566,100282718832958,100282718807041
567,100282719044458,100282719021666
568,100282719256333,100282719233666
569,100282719477958,100282719445625
570,100282719682500,100282719649833
571,100282719888000,100282719860375
572,100282720115625,100282720083500
573,100282720312208,100282720287125
574,100282720534125,100282720503041
575,100282720738958,100282720710208
576,100282720956666,100282720926750
577,100282721171875,100282721131458
578,100282721384375,100282721352291
579,100282721608666,100282721578833
580,100282721813125,100282721781125
581,100282722008916,100282721983041
582,100282722206375,100282722184250
583,100282722425458,100282722399041
584,100282722626416,100282722600333
585,100282722837166,100282722812333
586,100282723045500,100282723023000
587,100282723263750,100282723237875
588,100282723478583,100282723452291
589,100282723679791,100282723655625
590,100282723896708,100282723871083
591,100282724095291,100282724072333
592,100282724311458,100282724284291
593,100282724525708,100282724498958
594,100282724774916,100282724725416
595,100282724962208,100282724936291
596,100282725173500,100282725151166
597,100282725384208,100282725357875
598,100282725591041,100282725562708
599,100282725798583,100282725775000
600,100282726010000,100282725986958
601,100282726224833,100282726196250
602,100282726431125,100282726407666
603,100282726648916,100282726621666
604,100282726858500,100282726832291
605,100282727063208,100282727033666
606,100282727278625,100282727248333
607,100282727481958,100282727451958
608,100282727693166,100282727662916
609,100282727901041,100282727875000
610,100282728115041,100282728088291
611,100282728337625,100282728304333
612,100282728542916,100282728517958
613,100282728759583,100282728730958
614,100282728967833,100282728941833
615,100282729171458,100282729142458
616,100282729378208,100282729347666
617,100282729587625,100282729562291
618,100282729799208,100282729775000
619,100282730012333,100282729987000
620,100282730221375,100282730197625
621,100282730427166,100282730401750
622,100282730632125,100282730606291
623,100282730834833,100282730808583
624,100282731042416,100282731019000
625,100282731245416,100282731221625
626,100282731453333,100282731432291
627,100282731663458,100282731636291
628,100282731865833,100282731841750
629,100282732069791,100282732044250
630,100282732283541,100282732259000
631,100282732499791,100282732475666
632,100282732700541,100282732677583
633,100282732918375,100282732891416
634,100282733125666,100282733101666
635,100282733344041,100282733317458
636,100282733555583,100282733532291
637,100282733769750,100282733745666
638,100282733987041,100282733960625
639,100282734185750,100282734161666
640,100282734398833,100282734373625
641,100282734613541,100282734588375
642,100282734854916,100282734798625
643,100282735032666,100282735002208
644,100282735268250,100282735220250
645,100282735453500,100282735426958
646,100282735654750,100282735628416
647,100282735869125,100282735844916
648,100282736088583,100282736051333
649,100282736284750,100282736261666
650,100282736501166,100282736476791
651,100282736710125,100282736677833
652,100282736916500,100282736890041
653,100282737113708,100282737091041
654,100282737329333,100282737294541
655,100282737559208,100282737511250
656,100282737757708,100282737727666
657,100282737958666,100282737933708
658,100282738161958,100282738134958
659,100282738365208,100282738339125
660,100282738567666,100282738540375
661,100282738773583,100282738745083
662,100282738985500,100282738960416
663,100282739196416,100282739172416
664,100282739397000,100282739373666
665,100282739598458,100282739575041
666,100282739812791,100282739786916
667,100282740023541,100282739999625
668,100282740239166,100282740215458
669,100282740451166,100282740427000
670,100282740668583,100282740641583
671,100282740874541,100282740852250
672,100282741091166,100282741066791
673,100282741290541,100282741266958
674,100282741495750,100282741469666
675,100282741701250,100282741674958
676,100282741898750,100282741875333
677,100282742103041,100282742078208
678,100282742317125,100282742292875
679,100282742521791,100282742498375
680,100282742723375,100282742699541
681,100282742938333,100282742914916
682,100282743149875,100282743125666
683,100282743354500,100282743326958
684,100282743565708,100282743538291
685,100282743777833,100282743749625
686,100282743989791,100282743964333
687,100282744202375,100282744174958
688,100282744418166,100282744389750
689,100282744617458,100282744591958
690,100282744833041,100282744809000
691,100282745049333,100282745019500
692,100282745254541,100282745222875
693,100282745451500,100282745426458
694,100282745667291,100282745636875
695,100282745868833,100282745842875
696,100282746083166,100282746057666
697,100282746287875,100282746263875
698,100282746494958,100282746467375
699,100282746692500,100282746669000
700,100282746901500,100282746873708
701,100282747113458,100282747088250
702,100282747314250,100282747288333
703,100282747530375,100282747505083
704,100282747743750,100282747719291
705,100282747953416,100282747929666
706,100282748164750,100282748141625
707,100282748375791,100282748353750
708,100282748598375,100282748571041
709,100282748811250,100282748783041
710,100282749019458,100282748996333
711,100282749226250,100282749200458
712,100282749427416,100282749400958
713,100282749636833,100282749612250
714,100282749855125,100282749828041
715,100282750054833,100282750028833
716,100282750258333,100282750234958
717,100282750459250,100282750435000
718,100282750673875,100282750650375
719,100282750886750,100282750863000
720,100282751096041,100282751072333
721,100282751311958,100282751285666
722,100282751596291,100282751490708
723,100282751722791,100282751696375
724,100282751944958,100282751913000
725,100282752135958,100282752113666
726,100282752346708,100282752324583
727,100282752560708,100282752537625
728,100282752774958,100282752752333
729,100282752988666,100282752965666
730,100282753205666,100282753179000
731,100282753420916,100282753392500
732,100282753632458,100282753595458
733,100282753844416,100282753810208
734,100282754042833,100282754011458
735,100282754280416,100282754216458
736,100282754473333,100282754420958
737,100282754660666,100282754634166
738,100282754872500,100282754845625
739,100282755087958,100282755061875
740,100282755304041,100282755277625
741,100282755509708,100282755481666
742,100282755710583,100282755683083
743,100282755919750,100282755894916
744,100282756135375,100282756108291
745,100282756341916,100282756316250
746,100282756553458,100282756529625
747,100282756753416,100282756729916
748,100282756973666,100282756946291
749,100282757173666,100282757147041
750,100282757387583,100282757361708
751,100282757599875,100282757575000
752,100282757816000,100282757789666
753,100282758025166,100282758001625
754,100282758242000,100282758215041
755,100282758454625,100282758429625
756,100282758656208,100282758630250
757,100282758872125,100282758845625
758,100282759088208,100282759063041
759,100282759293375,100282759268291
760,100282759496041,100282759468791
761,100282759694000,100282759670958
762,100282759897875,100282759873000
763,100282760136750,100282760084125
764,100282760314458,100282760284875
765,100282760529500,100282760499000
766,100282760727541,100282760701208
767,100282760927958,100282760902333
768,100282761134666,100282761103875
769,100282761336541,100282761307750
770,100282761545458,100282761520291
771,100282761750333,100282761720333
772,100282761963583,100282761933666
773,100282762177875,100282762148375
774,100282762388666,100282762350833
775,100282762594458,100282762564875
776,100282762805166,100282762777583
777,100282763018583,100282762992541
778,100282763217125,100282763193666
779,100282763434666,100282763409791
780,100282763641833,100282763617625
781,100282763857750,100282763832333
782,100282764056250,100282764033041
783,100282764265250,100282764239000
784,100282764477958,100282764451791
785,100282764688958,100282764665666
786,100282764898666,100282764874916
787,100282765104708,100282765076875
788,100282765315750,100282765291791
789,100282765532000,100282765505625
790,100282765730791,100282765705708
791,100282765942333,100282765918958
792,100282766144083,100282766120333
793,100282766358083,100282766333583
794,100282766570625,100282766542916
795,100282766766708,100282766743000
796,100282766980083,100282766956291
797,100282767196041,100282767173208
798,100282767410875,100282767386958
