seq,send_ts_ns,ack_recv_ts_ns,retransmits
583,100118588349166,100118588448375,0
584,100118588550208,100118588724083,0
585,100118588754208,100118588867625,0
586,100118588970208,100118589147166,0
587,100118589181875,100118589279250,0
588,100118589386625,100118589554458,0
589,100118589601291,100118589682791,0
590,100118589817291,100118589940250,0
591,100118590019875,100118590081250,0
592,100118590222541,100118590358583,0
593,100118590430958,100118590615958,0
594,100118590642041,100118590737750,0
595,100118590843916,100118590998208,0
596,100118591058916,100118591145083,0
597,100118591269250,100118591422416,0
598,100118591473583,100118591562541,0
599,100118591683875,100118591839625,0
600,100118591900000,100118591983000,0
601,100118592104750,100118592243125,0
602,100118592310625,100118592386541,0
603,100118592511875,100118592658500,0
604,100118592729333,100118592915666,0
605,100118592936583,100118593043916,0
606,100118593147833,100118593324291,0
607,100118593354333,100118593467333,0
608,100118593559958,100118593725625,0
609,100118593773708,100118593867333,0
610,100118593989291,100118594141958,0
611,100118594207333,100118594281208,0
612,100118594410791,100118594553583,0
613,100118594621791,100118594811833,0
614,100118594831958,100118594948750,0
615,100118595043708,100118595198625,0
616,100118595246041,100118595338208,0
617,100118595461208,100118595612833,0
618,100118595662708,100118595755541,0
619,100118595873250,100118596008208,0
620,100118596084333,100118596152666,0
621,100118596287916,100118596404625,0
622,100118596501166,100118596674916,0
623,100118596704833,100118596815666,0
624,100118596918541,100118597094041,0
625,100118597127708,100118597224250,0
626,100118597341166,100118597499291,0
627,100118597550791,100118597642666,0
628,100118597759916,100118597915333,0
629,100118597969458,100118598059125,0
630,100118598174625,100118598335250,0
631,100118598386375,100118598468250,0
632,100118598592000,100118598743333,0
633,100118598798750,100118598886416,0
634,100118599003916,100118599143791,0
635,100118599218875,100118599400541,0
636,100118599432000,100118599526041,0
637,100118599649333,100118599785583,0
638,100118599854625,100118599929666,0
639,100118600070541,100118600182000,0
640,100118600288250,100118600461166,0
641,100118600494166,100118600603416,0
642,100118600709458,100118600872250,0
643,100118600919250,100118601013375,0
644,100118601123916,100118601270875,0
645,100118601337333,100118601413916,0
646,100118601540625,100118601679125,0
647,100118601754833,100118601824958,0
648,100118601969416,100118602068125,0
649,100118602171916,100118602332291,0
650,100118602374083,100118602466875,0
651,100118602579458,100118602742750,0
652,100118602793541,100118602885250,0
653,100118603011416,100118603160750,0
654,100118603227833,100118603302166,0
655,100118603432541,100118603578291,0
656,100118603645291,100118603720583,0
657,100118603860166,100118603996541,0
658,100118604073250,100118604131541,0
659,100118604286625,100118604385708,0
660,100118604504958,100118604657916,0
661,100118604705458,100118604802375,0
662,100118604919208,100118605078458,0
663,100118605125583,100118605222000,0
664,100118605333333,100118605498083,0
665,100118605548958,100118605639416,0
666,100118605750916,100118605919333,0
667,100118605953166,100118606061583,0
668,100118606153708,100118606337291,0
669,100118606358250,100118606474583,0
670,100118606560208,100118606613416,0
671,100118606772250,100118606887333,0
672,100118606974666,100118607161041,0
673,100118607191291,100118607304541,0
674,100118607410000,100118607562458,0
675,100118607610125,100118607682500,0
676,100118607817333,100118607950000,0
677,100118608017416,100118608070791,0
678,100118608223041,100118608300000,0
679,100118608424125,100118608575708,0
680,100118608639541,100118608827458,0
681,100118608847083,100118608959166,0
682,100118609051583,100118609104000,0
683,100118609260166,100118609366958,0
684,100118609469500,100118609644041,0
685,100118609673458,100118609785125,0
686,100118609888333,100118610063916,0
687,100118610089750,100118610210625,0
688,100118610296125,100118610350625,0
689,100118610508708,100118610636708,0
690,100118610722333,100118610777458,0
691,100118610934791,100118611055041,0
692,100118611144833,100118611328291,0
693,100118611359541,100118611472583,0
694,100118611575958,100118611747333,0
695,100118611788791,100118611888250,0
696,100118612005375,100118612162583,0
697,100118612209458,100118612307000,0
698,100118612421125,100118612559041,0
699,100118612629208,100118612701750,0
700,100118612840083,100118612979083,0
701,100118613057250,100118613235875,0
702,100118613265958,100118613377125,0
703,100118613469333,100118613653500,0
704,100118613684250,100118613796291,0
705,100118613902500,100118614060208,0
706,100118614107000,100118614183375,0
707,100118614313208,100118614448000,0
708,100118614518333,100118614696041,0
709,100118614728083,100118614838791,0
710,100118614938750,100118615116000,0
711,100118615144500,100118615249583,0
712,100118615356083,100118615507833,0
713,100118615556666,100118615628583,0
714,100118615769208,100118615905625,0
715,100118615970583,100118616023250,0
716,100118616179833,100118616296208,0
717,100118616387375,100118616575375,0
718,100118616590291,100118616719458,0
